Name,Country,Continent,Age,Height,Weight,Sex,Sport,Event,Medals,Gold,Silver,Bronze
Ya-Ting Tan,Taipei (Chinese Taipei),Asia,18,159,56,F,Archery,"Women's Individual, Women's Team",,,,
Kateryna Palekha,Ukraine,Europe,31,168,63,F,Archery,"Women's Individual, Women's Team",,,,
Lidiia Sichenikova,Ukraine,Europe,19,183,68,F,Archery,"Women's Individual, Women's Team",,,,
Tetyana Dorokhova,Ukraine,Europe,27,164,64,F,Archery,"Women's Individual, Women's Team",,,,
Jennifer Nichols,United States of America,Americas,28,183,64,F,Archery,"Women's Individual, Women's Team",,,,
Khatuna Lorig,United States of America,Americas,38,170,64,F,Archery,"Women's Individual, Women's Team",,,,
Miranda Leek,United States of America,Americas,19,163,75,F,Archery,"Women's Individual, Women's Team",,,,
Ben St Lawrence,Australia,Oceania,30,180,85,M,Athletics,"Men's 10,000m",,,,
Ali Hasan Mahboob,Bahrain,Asia,30,175,70,M,Athletics,"Men's 10,000m",,,,
Mohammed Ahmed,Canada,Americas,21,190,60,M,Athletics,"Men's 10,000m",,,,
Bayron Piedra,Ecuador,Americas,29,176,62,M,Athletics,"Men's 10,000m",,,,
Nguse Tesfaldet,Eritrea,Africa,25,180,56,M,Athletics,"Men's 10,000m",,,,
Zersenay Tadese,Eritrea,Africa,30,160,54,M,Athletics,"Men's 10,000m",,,,
Gebregziabher Gebremariam,Ethiopia,Africa,27,183,60,M,Athletics,"Men's 10,000m",,,,
Tariku Bekele,Ethiopia,Africa,25,168,62,M,Athletics,"Men's 10,000m",YES,,,1
Christopher Thompson,Great Britain,Europe,31,178,67,M,Athletics,"Men's 10,000m",,,,
Bedan Karoki Muchiri,Kenya,Africa,21,167,65,M,Athletics,"Men's 10,000m",,,,
Moses Ndiema Masai,Kenya,Africa,26,172,60,M,Athletics,"Men's 10,000m",,,,
Wilson Kiprop,Kenya,Africa,25,,,M,Athletics,"Men's 10,000m",,,,
Diego Estrada,Mexico,Americas,22,180,61,M,Athletics,"Men's 10,000m",,,,
Robert Kajuga,Rwanda,Africa,27,158,61,M,Athletics,"Men's 10,000m",,,,
